sep=,
Class,WMC,DIT,NOC,CBO,RFC,LCOM,DAC,MPC,NOM,SIZE1,SIZE2,Faults,Changes,Authors,Age
org.junit.experimental.max.MaxHistory$1,0,1,0,3,0,0,0,0,0,0,0,3,13,6,1363
org.junit.rules.RunRules,6,2,0,10,10,0,1,7,2,32,4,1,6,5,687
org.junit.internal.MethodSorter,6,1,0,16,13,0,1,9,1,38,6,4,28,15,909
org.junit.internal.Throwables,5,1,0,5,5,0,0,2,1,9,3,1,3,2,3
org.junit.runner.notification.RunNotifier$1,3,2,0,5,4,0,1,2,0,17,4,3,20,16,1694
org.junit.internal.runners.model.EachTestNotifier,11,1,0,11,20,0,0,14,6,73,9,2,8,8,1620
org.junit.runner.notification.RunListener,14,1,5,22,9,0,0,1,8,10,8,2,13,11,1520
junit.framework.TestFailure,7,1,0,10,18,0,1,15,7,55,9,1,10,8,586
org.junit.validator.AnnotationValidator,5,1,1,12,7,0,0,2,4,13,6,2,5,2,35
org.junit.runner.Description,46,1,0,71,63,0,0,55,23,330,37,9,59,20,2609
org.junit.experimental.max.MaxCore$1$1,1,4,0,6,2,0,0,1,0,9,2,0,2,1,0
org.junit.runner.notification.Failure,7,1,0,26,19,0,0,16,7,56,10,2,20,14,2151
org.junit.runners.Parameterized$RunnersFactory,34,1,0,31,53,0,2,61,0,251,14,0,2,2,160
org.junit.validator.ValidateWith,1,1,0,4,1,0,0,0,1,0,1,2,2,2,35
org.junit.runner.Result$SerializedForm,13,1,0,15,26,1,0,25,3,125,15,0,2,1,14
org.junit.internal.runners.statements.FailOnTimeout,31,2,0,28,62,0,1,55,3,281,16,12,56,18,2058
org.junit.internal.builders.AllDefaultPossibilitiesBuilder,12,2,0,19,24,0,2,17,2,85,8,2,6,6,598
org.junit.rules.DisableOnDebug,10,1,0,11,16,0,2,11,3,57,7,0,2,2,9
org.junit.runner.notification.RunNotifier$2,3,2,0,5,4,0,1,2,0,17,4,1,3,3,1
org.junit.runner.notification.RunNotifier$3,3,2,0,5,4,0,1,2,0,17,4,1,3,3,1
org.junit.runner.notification.RunNotifier$4,5,2,0,8,7,0,1,5,0,29,4,1,3,3,1
org.junit.runners.model.NoGenericTypeParametersValidator,21,1,0,12,23,0,0,23,0,152,7,3,12,10,1055
org.junit.rules.Verifier$1,3,2,0,3,5,0,2,3,1,18,4,1,6,6,1228
org.junit.runners.model.Statement,2,1,17,37,3,0,0,1,2,3,2,1,5,5,52
junit.framework.Test,2,1,0,21,2,0,0,0,2,0,2,1,5,5,52
org.junit.matchers.JUnitMatchers,11,1,0,11,22,0,0,11,11,33,11,5,34,9,1278
org.junit.rules.ErrorCollector$1,3,1,0,7,4,0,0,2,1,29,6,1,6,6,1228
junit.framework.JUnit4TestAdapter,19,1,0,20,36,0,6,25,10,107,15,1,14,8,1073
org.junit.experimental.categories.Categories$CategoryFilter,51,2,2,18,55,0,2,60,10,321,23,5,40,13,1967
org.junit.internal.runners.TestClass,34,1,0,21,33,0,0,35,6,182,13,2,12,11,1292
org.junit.experimental.ParallelComputer,13,2,0,10,13,0,2,9,4,60,8,2,23,8,1910
org.junit.internal.matchers.StacktracePrintingMatcher,9,3,0,13,22,0,0,15,4,67,10,2,10,8,676
org.junit.rules.ExternalResource$1,4,2,0,3,6,0,2,5,1,28,4,1,6,6,1228
org.junit.runner.JUnitCommandLineParseResult$CommandLineParserError,1,3,0,3,2,0,0,1,1,5,2,0,2,1,0
org.junit.internal.runners.statements.FailOnTimeout$Builder,11,1,0,10,13,0,1,6,3,70,11,1,2,1,3
org.junit.internal.runners.MethodValidator,20,1,0,15,36,0,0,75,6,227,9,1,7,6,708
org.junit.experimental.categories.ExcludeCategories,4,2,0,7,6,0,2,3,2,12,3,3,12,6,350
org.junit.experimental.theories.Theories$TheoryAnchor$1,7,4,0,16,15,0,1,10,2,47,7,1,5,5,52
org.junit.runner.Result$Listener,13,2,0,11,21,0,0,16,6,51,9,2,14,9,1931
org.junit.validator.AnnotationsValidator,5,1,0,14,14,0,1,11,2,55,4,1,6,4,208
org.junit.internal.ExactComparisonCriteria,2,2,0,3,4,0,1,2,1,7,2,1,7,6,1305
org.junit.Assume,17,1,0,14,25,0,0,20,10,71,10,6,20,11,2195
org.junit.experimental.theories.Theories$TheoryAnchor$2,4,2,0,7,7,0,1,5,1,37,6,4,10,9,598
org.junit.internal.JUnitSystem,2,1,0,5,2,0,0,0,2,0,2,3,14,12,983
org.junit.runners.parameterized.BlockJUnit4ClassRunnerWithParametersFactory,3,1,0,7,4,0,2,2,2,8,2,0,2,2,143
org.junit.rules.Stopwatch$Clock,2,1,0,3,4,0,0,2,1,5,2,1,2,2,0
org.junit.internal.runners.ClassRoadie,17,1,0,15,22,0,0,26,2,124,10,1,9,7,708
org.junit.internal.builders.JUnit3Builder,5,2,0,8,7,0,2,4,2,18,3,1,5,5,52
org.junit.runners.model.FrameworkMethod,39,2,0,40,53,0,1,70,18,257,22,10,44,19,1826
org.junit.internal.builders.IgnoredBuilder,3,2,0,6,5,0,2,3,2,14,2,1,5,5,52
org.junit.runners.model.TestTimedOutException,3,3,0,6,8,0,0,5,3,33,6,2,4,3,152
org.junit.internal.runners.statements.FailOnTimeout$1,0,1,0,4,0,0,0,0,0,0,0,5,23,10,1967
org.junit.experimental.theories.internal.SpecificDataPointsSupplier,17,3,0,17,23,0,0,49,1,172,5,2,7,3,59
org.junit.runners.JUnit4,2,4,0,4,2,0,0,1,1,4,1,1,5,5,52
org.junit.internal.runners.JUnit4ClassRunner$1,2,1,0,4,4,0,0,2,1,17,4,1,7,6,708
org.junit.internal.runners.JUnit4ClassRunner$2,3,1,0,6,7,0,0,5,2,30,5,1,7,6,708
org.junit.runner.JUnitCommandLineParseResult,31,1,0,20,43,0,2,56,4,276,14,2,8,7,1037
org.junit.Ignore,1,1,0,3,1,0,0,0,1,0,1,1,5,5,52
junit.framework.Assert,70,1,2,18,84,0,0,100,38,372,39,5,30,15,1659
org.junit.runners.parameterized.ParametersRunnerFactory,1,1,0,6,1,0,1,0,1,0,1,0,2,2,143
junit.extensions.TestDecorator,6,2,2,9,11,0,1,5,6,27,7,1,5,5,52
org.junit.experimental.theories.ParametersSuppliedBy,1,1,0,5,1,0,0,0,1,0,1,1,5,5,52
org.junit.validator.TestClassValidator,1,1,0,6,1,0,0,0,1,0,1,0,3,3,367
org.junit.internal.runners.rules.RuleMemberValidator$1,0,1,0,10,0,0,0,0,0,0,0,0,2,2,2
org.junit.runner.JUnitCore,17,1,0,23,50,0,4,45,12,140,15,7,40,18,1944
org.junit.runner.Result,23,1,0,25,40,0,0,27,8,140,26,3,24,14,1833
org.junit.experimental.theories.Theories$TheoryAnchor,28,2,0,21,45,0,3,35,2,157,17,6,14,13,1566
junit.extensions.TestSetup$1,3,1,0,5,6,0,1,4,1,23,4,1,5,5,52
org.junit.internal.InexactComparisonCriteria,5,2,0,5,10,1,1,12,2,42,4,7,15,9,1328
junit.textui.TestRunner,36,2,0,16,57,1,2,61,14,275,22,2,9,9,2150
org.junit.runners.model.RunnerScheduler,2,1,0,5,2,0,0,0,2,0,2,1,7,6,1228
org.junit.internal.AssumptionViolatedException,12,4,1,17,14,0,0,14,7,103,12,6,17,11,1308
org.junit.runner.FilterFactories,14,1,0,15,21,0,3,18,3,84,6,1,9,5,461
org.junit.internal.matchers.ThrowableMessageMatcher,7,3,0,10,16,0,0,11,3,50,8,2,9,8,675
org.junit.experimental.theories.ParameterSupplier,2,1,4,9,3,0,0,1,2,3,2,3,9,8,174
org.junit.experimental.max.MaxCore,26,1,0,25,61,0,2,70,7,220,15,6,41,9,1944
org.junit.runners.BlockJUnit4ClassRunner,73,3,4,41,116,0,3,126,1,512,38,27,99,26,2281
org.junit.runner.FilterFactory$FilterNotCreatedException,1,3,0,7,3,0,0,2,1,6,1,0,10,3,767
junit.framework.ComparisonFailure,4,5,0,4,8,0,0,4,4,32,8,1,5,5,52
org.junit.runners.model.FrameworkMember,12,1,2,25,17,0,1,9,6,30,9,4,21,13,1726
org.junit.ClassRule,0,1,0,2,0,0,0,0,0,0,0,3,7,4,695
org.junit.experimental.results.ResultMatchers$1,6,3,0,7,12,0,0,9,3,36,5,1,6,6,1223
org.junit.experimental.theories.Theory,1,1,0,3,1,0,0,0,1,0,1,1,5,5,52
org.junit.internal.builders.JUnit4Builder,3,2,0,7,4,0,2,2,2,8,2,1,5,5,52
org.junit.experimental.results.ResultMatchers$2,6,2,0,7,12,0,0,10,2,35,4,1,5,5,52
org.junit.internal.MethodSorter$2,4,1,0,6,8,0,0,8,2,26,3,3,21,15,885
org.junit.experimental.results.ResultMatchers$3,3,2,0,6,10,0,0,8,2,26,4,1,6,6,297
org.junit.internal.builders.SuiteMethodBuilder,6,2,0,8,7,0,2,4,3,26,3,1,5,5,52
org.junit.runners.BlockJUnit4ClassRunner$1,3,2,0,5,4,0,1,2,0,17,4,8,18,16,1351
org.junit.internal.MethodSorter$1,6,1,0,6,8,0,0,7,2,33,3,4,28,16,909
org.junit.internal.runners.JUnit38ClassRunner$OldTestClassAdaptingListener,11,1,0,15,24,0,3,17,4,73,10,4,19,10,1917
org.junit.runners.parameterized.TestWithParameters,16,1,0,14,25,0,0,23,7,129,11,1,3,3,186
org.junit.experimental.ParallelComputer$1,4,1,0,7,9,0,1,6,2,28,4,1,7,6,1363
org.junit.internal.runners.MethodRoadie$1,5,1,0,10,12,0,0,11,1,58,4,2,10,7,708
org.junit.runners.Parameterized$UseParametersRunnerFactory,1,1,0,4,1,0,0,0,1,0,1,0,2,2,143
org.junit.runners.ParentRunner$3,2,1,0,4,4,0,1,2,1,23,5,3,18,10,1840
org.junit.runners.ParentRunner$4,2,1,0,5,5,0,1,4,1,23,4,2,17,11,1840
org.junit.runners.ParentRunner$1,3,1,0,4,5,0,2,2,2,11,4,2,20,8,1624
org.junit.runners.ParentRunner$2,2,2,0,3,4,0,2,2,1,17,4,4,18,11,565
org.junit.experimental.categories.Category,1,1,0,4,1,0,0,0,1,0,1,1,12,7,1132
org.junit.rules.TestWatcher,25,1,2,13,32,0,2,19,2,110,18,6,29,10,1497
org.junit.internal.runners.MethodRoadie,31,1,0,24,46,0,0,66,4,267,13,1,7,6,708
org.junit.runners.Suite,19,3,4,23,30,0,3,21,3,99,13,3,32,10,1944
org.junit.experimental.theories.internal.Assignments,36,1,0,28,52,0,3,52,10,259,18,9,23,13,2141
org.junit.internal.builders.IgnoredClassRunner,3,2,0,7,7,0,1,4,3,16,4,2,6,6,598
org.junit.internal.matchers.TypeSafeMatcher,19,2,0,11,19,1,0,15,2,86,7,3,11,11,1216
org.junit.experimental.theories.suppliers.TestedOnSupplier,4,2,0,8,9,0,1,7,2,40,2,3,11,10,218
org.junit.internal.runners.FailedBefore,1,3,0,3,2,0,0,1,0,4,2,1,7,6,708
org.junit.FixMethodOrder,1,1,0,4,1,0,0,0,1,0,1,1,12,12,233
org.junit.internal.RealSystem,3,1,0,5,5,0,1,2,3,8,3,3,14,12,983
org.junit.runners.model.FrameworkField,15,2,0,16,26,0,1,15,10,62,13,5,34,17,1850
org.junit.rules.Stopwatch,16,1,0,11,25,0,2,14,3,84,17,4,12,6,865
org.junit.internal.runners.statements.RunAfters,14,2,0,12,11,0,1,20,2,110,5,2,8,7,1817
org.junit.runners.model.MultipleFailureException,9,3,1,19,23,0,0,21,4,82,6,3,15,8,1955
org.junit.runners.model.Annotatable,2,1,0,9,2,0,0,0,2,0,2,1,6,5,265
org.junit.experimental.theories.internal.ParameterizedAssertionError,12,4,0,12,24,0,0,21,5,79,7,4,15,11,626
org.junit.rules.TestWatchman,6,1,0,6,8,0,2,2,6,14,6,1,6,6,1228
org.junit.runner.Describable,1,1,0,7,1,0,0,0,1,0,1,1,6,6,915
org.junit.runner.Runner,4,1,5,34,7,0,1,3,4,7,4,2,13,9,1606
org.junit.rules.TestName,3,2,0,3,5,0,1,2,2,12,4,4,11,8,2149
org.junit.experimental.theories.internal.BooleanSupplier,2,2,0,7,6,0,1,6,2,21,2,0,3,3,10
org.junit.runners.model.InitializationError,4,3,0,23,9,0,0,5,4,28,6,3,16,10,2344
org.junit.internal.TextListener,21,2,0,15,43,0,1,91,6,217,13,4,8,8,969
org.junit.experimental.categories.CategoryFilterFactory,8,1,2,15,13,0,2,9,1,47,4,5,18,7,433
org.junit.internal.runners.TestMethod,21,1,0,13,18,0,1,14,4,87,11,1,7,6,708
org.junit.runners.Parameterized$Parameters,1,1,0,4,1,0,0,0,1,0,1,6,19,16,1131
org.junit.Assert$ThrowingRunnable,1,1,0,3,1,0,0,0,1,0,1,1,1,1,0
junit.framework.AssertionFailedError,5,4,1,10,6,0,0,3,2,15,4,3,11,10,968
org.junit.validator.PublicClassValidator,4,1,0,8,12,0,1,11,2,28,4,0,2,2,17
org.junit.experimental.categories.ExcludeCategories$ExcludesAny,3,3,0,10,10,0,0,8,3,24,3,2,7,5,346
junit.framework.JUnit4TestAdapterCache,15,3,0,15,30,0,1,31,5,118,9,1,11,7,1073
junit.framework.TestSuite$1,2,3,0,4,4,0,1,2,0,12,3,1,5,5,52
org.junit.experimental.theories.internal.EnumSupplier,4,2,0,10,8,0,1,6,2,40,3,0,3,3,10
junit.framework.TestListener,4,1,0,9,4,0,1,0,4,0,4,1,7,7,509
org.junit.runners.ParentRunner,75,2,2,49,106,0,6,121,6,528,38,20,103,22,1944
org.junit.experimental.runners.Enclosed,6,4,0,10,11,0,1,9,1,45,2,2,11,6,184
org.junit.Assert,118,1,0,29,140,0,1,172,56,667,69,26,75,27,2317
org.junit.experimental.max.MaxCore$1,2,2,0,7,5,0,2,3,1,27,4,5,11,6,1363
junit.framework.Protectable,1,1,0,6,1,0,0,0,1,0,1,1,5,5,52
org.junit.internal.runners.JUnit4ClassRunner,31,2,0,33,67,0,4,61,5,223,20,1,7,6,708
org.junit.runner.FilterFactory,1,1,0,6,1,0,1,0,1,0,1,2,18,5,768
org.junit.rules.Stopwatch$InternalWatcher,7,2,0,7,16,0,1,14,0,58,8,1,2,2,0
org.junit.rules.MethodRule,1,1,0,5,1,0,1,0,1,0,1,4,9,7,1407
junit.framework.ComparisonCompactor,26,1,0,7,25,0,0,53,2,266,16,2,7,6,801
org.junit.experimental.theories.PotentialAssignment$CouldNotGenerateValueException,2,3,0,5,4,0,0,2,2,8,3,2,11,10,509
org.junit.runner.FilterFactoryParams,5,1,0,9,5,0,0,2,3,25,5,0,12,3,487
junit.framework.TestResult$1,3,1,0,5,4,0,2,2,1,15,4,1,5,5,52
org.junit.runners.model.TestClass,72,1,0,62,94,0,2,102,16,494,30,15,65,20,2114
org.junit.internal.Classes,3,1,0,8,6,0,0,4,2,9,2,2,4,4,795
org.junit.runner.manipulation.Sortable,1,1,0,6,1,0,0,0,1,0,1,1,6,6,915
org.junit.experimental.theories.DataPoint,2,1,0,6,2,0,0,0,2,0,2,2,9,3,59
org.junit.runner.Computer,6,1,1,14,9,0,2,5,3,21,4,1,11,6,1301
org.junit.runners.model.TestClass$FieldComparator,4,1,0,7,9,0,0,6,2,19,4,1,4,4,141
junit.framework.TestResult,32,1,0,31,44,0,4,46,16,228,23,1,9,9,531
junit.runner.BaseTestRunner,79,1,1,33,95,1,2,110,19,527,36,6,15,9,1772
org.junit.runner.notification.SynchronizedRunListener,26,2,0,9,25,0,0,15,10,171,13,2,4,4,446
org.junit.internal.builders.AnnotatedBuilder,11,2,0,13,18,0,2,16,3,108,6,4,12,8,598
org.junit.internal.runners.statements.Fail,3,2,0,3,3,0,1,1,2,10,3,2,6,6,598
org.junit.runners.Parameterized,2,4,0,5,3,0,0,2,1,6,1,15,51,21,2207
org.junit.runner.manipulation.Sorter,6,1,0,14,11,0,1,6,4,39,7,4,10,7,1783
org.junit.runners.parameterized.BlockJUnit4ClassRunnerWithParameters,39,4,0,25,62,0,1,120,2,385,15,3,6,4,559
org.junit.internal.runners.ErrorReportingRunner,23,2,0,20,34,0,1,33,4,190,10,5,15,10,823
org.junit.experimental.results.ResultMatchers,5,1,0,7,10,0,0,5,5,21,5,4,11,11,2141
org.junit.runners.Suite$SuiteClasses,1,1,0,4,1,0,0,0,1,0,1,0,2,1,0
org.junit.runners.AllTests,2,4,0,4,2,0,0,1,1,4,1,1,5,5,52
org.junit.experimental.theories.internal.AllMembersSupplier,50,2,1,32,66,0,1,95,2,370,17,10,36,13,1770
org.junit.runner.manipulation.NoTestsRemainException,1,3,0,9,2,0,0,1,1,4,2,1,5,5,52
org.junit.experimental.theories.FromDataPoints,1,1,0,4,1,0,0,0,1,0,1,1,3,3,39
org.junit.runner.notification.StoppedByUserException,1,4,0,2,2,0,0,1,1,4,2,1,5,5,52
org.junit.experimental.theories.suppliers.TestedOn,1,1,0,3,1,0,0,0,1,0,1,1,5,5,52
org.junit.internal.runners.rules.RuleMemberValidator,21,1,0,22,42,0,1,63,1,196,19,1,5,3,141
org.junit.experimental.theories.DataPoints,2,1,0,6,2,0,0,0,2,0,2,2,9,3,64
org.junit.experimental.categories.Categories,25,4,0,14,30,0,1,26,1,123,9,5,31,14,2053
junit.runner.TestRunListener,6,1,0,2,6,0,0,0,6,2,8,1,5,5,52
org.junit.experimental.max.MaxHistory,18,1,0,20,37,0,0,35,3,145,16,5,34,9,2575
org.junit.rules.TestRule,1,1,0,12,1,0,1,0,1,0,1,3,12,6,761
org.junit.internal.runners.statements.RunBefores,5,2,0,9,8,0,1,6,2,38,5,2,6,6,598
org.junit.internal.runners.JUnit38ClassRunner,32,2,1,28,48,0,8,57,7,244,13,6,25,10,1944
org.junit.rules.Timeout$1,3,2,0,5,4,0,1,2,1,18,4,1,12,7,1886
org.junit.runner.manipulation.Filter$1,6,2,0,5,6,0,1,1,4,10,5,4,17,9,1850
org.junit.ComparisonFailure$1,0,1,0,2,0,0,0,0,0,0,0,1,9,9,719
org.junit.runner.manipulation.Filter$2,7,2,0,6,13,0,1,10,2,46,4,1,11,7,1073
org.junit.runner.manipulation.Filter$3,6,2,0,4,9,0,1,10,2,44,6,2,6,6,590
org.junit.experimental.theories.PotentialAssignment,4,1,2,11,6,0,0,2,4,9,4,2,12,9,1136
org.junit.validator.AnnotationValidatorFactory,4,1,0,9,14,0,2,13,2,50,4,5,11,7,453
junit.extensions.RepeatedTest,9,3,0,6,13,0,1,10,4,47,5,1,5,5,52
org.junit.rules.TemporaryFolder$Builder,6,1,0,3,8,0,0,2,3,26,8,3,3,3,461
org.junit.rules.ExpectedException,24,1,0,21,39,0,2,25,10,111,20,13,61,16,2432
org.junit.rules.TestWatcher$1,6,2,0,8,12,0,2,14,1,91,5,5,26,12,1497
org.junit.internal.runners.model.MultipleFailureException,1,4,0,3,2,0,0,1,1,5,2,1,9,6,1270
junit.runner.Version,3,1,0,6,6,0,0,3,2,9,3,10,68,14,2073
org.junit.internal.runners.rules.RuleMemberValidator$Builder,8,1,0,9,13,0,1,5,0,47,11,0,2,2,2
org.junit.runners.model.TestClass$MethodComparator,4,1,0,6,9,0,0,6,2,20,4,1,4,4,141
org.junit.internal.runners.statements.ExpectException,6,2,0,11,12,0,1,21,2,71,4,3,8,8,1483
org.junit.internal.runners.model.ReflectiveCallable,4,1,2,6,6,0,0,3,2,10,3,1,5,5,52
org.junit.rules.RuleChain,8,1,0,10,18,0,2,13,4,57,8,3,10,10,1393
org.junit.experimental.max.CouldNotReadCoreException,1,3,0,3,2,0,0,1,1,5,2,1,7,6,1242
org.junit.Rule,0,1,0,2,0,0,0,0,0,0,0,1,3,2,1196
org.junit.internal.matchers.ThrowableCauseMatcher,7,3,0,10,16,0,0,11,3,50,8,2,11,9,781
org.junit.runner.notification.RunNotifier,24,1,0,41,44,0,0,33,12,155,18,6,29,19,1694
org.junit.rules.TemporaryFolder,49,2,0,10,48,0,1,51,11,258,22,15,46,22,2434
