sep=,
ProjectName,TotalFiles,CLOC,SLOC,Faults,Changes,Authors,Age,Dev,FDist,CinF,FGini,CGini
junit4,183,9266,5966,843,3310,119,2675,2617,54,24,0.5,0.58
guava,638,80174,55765,1095,7411,112,1867,1865,64,12,0.66,0.64
